"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Scotland,"5,313,600",,"295,790","275,597","281,578","318,936","371,337","347,332","332,937","321,989","385,471","410,266","384,707","339,296","322,623","285,745","221,543","180,599","128,627","72,322","36,905",,Scotland
Council areas,,,,,,,,,,,,,,,,,,,,,,,Council areas
Aberdeen City,"224,910",,"12,148","9,579","9,184","12,762","24,096","21,794","18,082","14,579","14,777","15,204","14,567","13,047","11,941","9,521","7,620","6,587","5,121","2,882","1,419",,Aberdeen City
Aberdeenshire,"255,560",,"15,322","14,546","14,763","15,355","13,117","13,510","14,949","16,831","19,765","20,884","19,108","17,690","16,800","14,090","10,272","7,961","5,563","3,326","1,708",,Aberdeenshire
Angus,"116,220",,"5,921","6,083","6,514","7,026","6,072","5,964","6,130","6,464","8,115","8,940","8,666","7,898","8,192","7,485","5,654","4,626","3,439","2,016","1,015",,Angus
Argyll & Bute,"86,910",,"4,115","4,249","4,639","5,109","4,200","3,993","3,818","4,312","5,809","6,774","6,650","6,334","6,739","6,431","4,913","3,784","2,684","1,509",848,,Argyll & Bute
Clackmannanshire,"51,280",,"2,926","2,716","2,898","3,186","2,841","2,869","3,021","3,134","4,031","4,295","3,852","3,375","3,403","3,047","2,120","1,626","1,090",549,301,,Clackmannanshire
Dumfries & Galloway,"150,840",,"7,479","7,628","7,794","8,757","7,606","7,346","7,008","7,427","10,131","11,909","11,467","10,798","11,145","10,579","8,285","6,801","4,740","2,626","1,314",,Dumfries & Galloway
Dundee City,"147,780",,"8,147","6,976","7,003","9,767","16,186","12,137","9,471","7,752","9,024","9,928","9,920","8,350","7,972","7,014","5,853","5,118","3,867","2,255","1,040",,Dundee City
East Ayrshire,"122,730",,"6,890","6,466","6,718","7,556","7,408","7,086","6,895","7,193","9,327","9,967","9,008","8,093","7,882","7,177","5,386","4,373","2,941","1,557",807,,East Ayrshire
East Dunbartonshire,"105,880",,"5,219","5,652","6,300","6,779","6,286","4,580","4,607","5,499","7,562","8,744","8,575","7,655","6,969","6,343","5,125","4,417","3,055","1,701",812,,East Dunbartonshire
East Lothian,"100,860",,"6,029","5,766","5,718","6,346","5,633","4,919","5,094","6,152","7,779","8,303","7,735","6,630","6,177","5,654","4,414","3,565","2,639","1,535",772,,East Lothian
East Renfrewshire,"91,040",,"4,963","5,573","6,057","6,112","5,285","3,651","4,058","5,068","6,665","7,637","7,252","6,270","5,543","4,894","3,869","3,362","2,498","1,469",814,,East Renfrewshire
"Edinburgh, City of","482,630",,"27,060","21,326","20,676","25,762","48,909","46,114","40,679","33,986","33,092","33,068","30,608","26,242","24,235","20,277","15,787","13,818","10,861","6,593","3,537",,"Edinburgh, City of"
Eilean Siar,"27,560",,"1,297","1,477","1,458","1,568","1,209","1,226","1,367","1,564","2,001","2,061","2,074","1,967","2,115","1,851","1,495","1,188",848,522,272,,Eilean Siar
Falkirk,"156,800",,"9,345","8,742","8,503","9,296","8,911","9,081","9,988","10,515","12,525","12,628","11,452","9,691","9,678","8,356","6,499","5,258","3,466","1,909",957,,Falkirk
Fife,"366,210",,"21,002","19,587","19,544","22,376","24,380","20,581","21,152","21,677","26,767","28,137","26,701","23,577","23,576","21,671","15,848","12,847","8,903","5,263","2,621",,Fife
Glasgow City,"595,070",,"34,269","27,732","28,026","35,080","58,817","56,098","48,756","38,526","42,147","42,832","39,531","32,670","27,626","23,492","19,619","17,042","12,402","6,803","3,602",,Glasgow City
Highland,"232,890",,"12,521","12,530","13,063","13,451","11,521","12,672","13,030","13,109","16,421","18,528","17,704","16,708","16,578","14,463","10,861","8,463","6,106","3,415","1,746",,Highland
Inverclyde,"80,690",,"4,112","4,111","4,204","4,900","5,082","4,662","4,369","4,446","5,742","6,730","6,506","5,441","5,185","4,613","3,580","2,973","2,194","1,214",626,,Inverclyde
Midlothian,"84,240",,"5,136","4,804","4,946","5,061","4,972","4,491","4,860","5,051","6,324","6,603","6,181","5,577","5,524","4,885","3,544","2,820","1,904","1,041",516,,Midlothian
Moray,"92,930",,"5,103","4,938","5,373","6,002","4,983","5,303","5,009","5,227","6,856","7,275","6,637","6,174","6,092","5,594","4,361","3,556","2,420","1,337",690,,Moray
North Ayrshire,"137,570",,"7,386","7,354","7,650","8,765","7,950","7,054","7,181","7,607","9,761","10,796","10,195","9,395","9,393","8,643","6,807","5,139","3,574","1,893","1,027",,North Ayrshire
North Lanarkshire,"337,890",,"20,308","19,956","19,826","21,126","21,271","21,292","21,971","21,655","26,176","26,963","24,443","21,147","19,452","16,917","13,317","10,333","6,769","3,433","1,535",,North Lanarkshire
